row_id,microbusiness_density
1001_2019-08-01,3.0076818
1001_2019-09-01,2.8848701
1001_2019-10-01,3.0558431
1001_2019-11-01,2.9932332
1001_2019-12-01,2.9932332
1001_2020-01-01,2.96909
1001_2020-02-01,2.9093256
1001_2020-03-01,2.9332314
1001_2020-04-01,3.0001674
1001_2020-05-01,3.0049484
1001_2020-06-01,3.0192919
1001_2020-07-01,3.0838373
1001_2020-08-01,3.174679
1001_2020-09-01,3.2057564
1001_2020-10-01,3.1938035
1001_2020-11-01,3.0384164
1001_2020-12-01,3.002558
1001_2021-01-01,2.9472437
1001_2021-02-01,3.1061056
1001_2021-03-01,3.1440427
1001_2021-04-01,3.2246592
1001_2021-05-01,3.2270303
1001_2021-06-01,3.2222881
1001_2021-07-01,3.2104328
1001_2021-08-01,3.2199171
1001_2021-09-01,3.186722
1001_2021-10-01,3.2033195
1001_2021-11-01,3.2009485
1001_2021-12-01,3.2863071
1001_2022-01-01,3.2967808
1001_2022-02-01,3.3344314
1001_2022-03-01,3.3367846
1001_2022-04-01,3.372082
1001_2022-05-01,3.3132529
1001_2022-06-01,3.3461974
1001_2022-07-01,3.4379706
1001_2022-08-01,3.4238517
1001_2022-09-01,3.442677
1001_2022-10-01,3.4638555
1003_2019-08-01,7.2391562
1003_2019-09-01,7.2909365
1003_2019-10-01,7.4254394
1003_2019-11-01,7.4260707
1003_2019-12-01,7.4702735
1003_2020-01-01,7.4136553
1003_2020-02-01,7.2825217
1003_2020-03-01,7.3096104
1003_2020-04-01,7.568799
1003_2020-05-01,7.6032753
1003_2020-06-01,7.7085514
1003_2020-07-01,7.7830448
1003_2020-08-01,7.853229
1003_2020-09-01,8.4122391
1003_2020-10-01,8.3291264
1003_2020-11-01,8.2632523
1003_2020-12-01,8.2244663
1003_2021-01-01,8.0110445
1003_2021-02-01,7.9090009
1003_2021-03-01,7.9780307
1003_2021-04-01,8.0326538
1003_2021-05-01,8.0614662
1003_2021-06-01,8.0770731
1003_2021-07-01,7.9840331
1003_2021-08-01,7.9186049
1003_2021-09-01,7.802155
1003_2021-10-01,7.8321676
1003_2021-11-01,7.9005971
1003_2021-12-01,7.9300098
1003_2022-01-01,7.733397
1003_2022-02-01,7.8232999
1003_2022-03-01,7.9453111
1003_2022-04-01,7.9791703
1003_2022-05-01,7.9073648
1003_2022-06-01,8.5074959
1003_2022-07-01,8.5734634
1003_2022-08-01,8.4911499
1003_2022-09-01,8.3417006
1003_2022-10-01,8.3597984
1005_2019-08-01,1.0731378
1005_2019-09-01,0.99579448
1005_2019-10-01,1.1601489
1005_2019-11-01,1.0006285
1005_2019-12-01,1.0006285
1005_2020-01-01,1.027229
1005_2020-02-01,1.022314
1005_2020-03-01,1.032144
1005_2020-04-01,1.0862086
1005_2020-05-01,1.0812936
1005_2020-06-01,0.99773914
1005_2020-07-01,0.9879092
1005_2020-08-01,0.9829942
1005_2020-09-01,1.022314
1005_2020-10-01,1.0370588
1005_2020-11-01,1.032144
1005_2020-12-01,1.032144
1005_2021-01-01,1.1119976
1005_2021-02-01,1.0721053
1005_2021-03-01,1.0571457
1005_2021-04-01,1.1020246
1005_2021-05-01,1.097038
1005_2021-06-01,1.1070111
1005_2021-07-01,1.1469034
1005_2021-08-01,1.1568764
1005_2021-09-01,1.1219707
1005_2021-10-01,1.1369303
1005_2021-11-01,1.1518899
1005_2021-12-01,1.1518899
